Linsensüppchen	Linse<NN>Suppe<NN>chen<SUFF>	Linsensuppe
Dackelhäuschen	Dackel<NN>Haus<NN>chen<SUFF>	Dackelhaus
Ampelmännchen	Ampel<NN>Mann<NN>chen<SUFF>	Ampelmann
Feuchtigkeitsbläschen	Feuchtigkeit<NN>Blase<NN>chen<SUFF>	Feuchtigkeitsblase
Plastikbändchen	Plastik<NN>Bande<NN>chen<SUFF>	Plastikband
Kattunkleidchen	Kat<NN>tunken<V>Leid<NN>chen<SUFF>	Kattunkleid
Studentenpärchen	Student<NN>Paar<NN>chen<SUFF>	Studentenpaar
Sahnehäubchen	Sahne<NN>Haube<NN>chen<SUFF>	Sahnehaube
Kohlenstoffröhrchen	Kohlenstoff<NN>Rohr<NN>chen<SUFF>	Kohlenstoffrohr
Nachttischlämpchen	Nacht<NN>Tisch<NN>Lampe<NN>chen<SUFF>	Nachttischlampe
Steinstückchen	Stein<NN>Stück<NN>chen<SUFF>	Steinstück
Kirschbäumchen	Kirsche<NN>Baum<NN>chen<SUFF>	Kirschbaum
Kommunikationsproblemchen	Kommunikation<NN>Problem<NN>chen<SUFF>	Kommunikationsproblem
Storchenbeinchen	Storch<NN>Bein<NN>chen<SUFF>	Storchenbein
Modepüppchen	Mode<NN>Puppe<NN>chen<SUFF>	Modepuppe
Ahornbäumchen	Ahorn<NN>Baum<NN>chen<SUFF>	Ahornbaum
Grundschulstühlchen	Grund<NN>Schule<NN>Stuhl<NN>chen<SUFF>	Grundschulstuhl
Sommerlüftchen	Sommer<NN>Luft<NN>chen<SUFF>	Sommerluft
Spitzenhemdchen	Spitze<NN>Hemd<NN>chen<SUFF>	Spitzenhemd
Kunststoffkügelchen	Kunststoff<NN>Kugel<NN>chen<SUFF>	Kunststoffkugel
Polsterherzchen	Polster<NN>Herz<NN>chen<SUFF>	Polsterherz
Fußballbildchen	Fußball<NN>Bild<NN>chen<SUFF>	Fußballbild
Fischsüppchen	Fisch<NN>Suppe<NN>chen<SUFF>	Fischsuppe
Kirschmündchen	Kirsche<NN>Mund<NN>chen<SUFF>	Kirschmund
Krebsklößchen	Krebs<NN>Kloß<NN>chen<SUFF>	Krebskloß
Fischröllchen	Fisch<NN>Rolle<NN>chen<SUFF>	Fischrolle
Hochglanzhündchen	Hochglanz<NN>Hund<NN>chen<SUFF>	Hochglanzhund
Schokoladenstückchen	Schokolade<NN>Stück<NN>chen<SUFF>	Schokoladenstück
Plastikarmbändchen	Plastik<NN>Arm<NN>Band<NN>chen<SUFF>	Plastikarmband
Erdbeerkörbchen	Erde<NN>Beere<NN>Korb<NN>chen<SUFF>	Erdbeerkorb
Regentröpfchen	Regen<NN>Tropfen<NN>chen<SUFF>	Regentropfen
Feierabendbierchen	Feierabend<NN>Bier<NN>chen<SUFF>	Feierabendbier
Lakritzfischchen	Lakritze<NN>Fisch<NN>chen<SUFF>	Lakritzfisch
Kragenbündchen	Kragen<NN>Bund<NN>chen<SUFF>	Kragenbund
Hausglöckchen	Haus<NN>Glocke<NN>chen<SUFF>	Hausglocke
Geburtstagstänzchen	Geburtstag<NN>Tanz<NN>chen<SUFF>	Geburtstagstanz
Holzröllchen	Holz<NN>Rolle<NN>chen<SUFF>	Holzrolle
Staubkörnchen	Staub<NN>Korn<NN>chen<SUFF>	Staubkorn
Saunahüttchen	Sauna<NN>Hütte<NN>chen<SUFF>	Saunahütte
Metallkästchen	Metall<NN>Kasten<NN>chen<SUFF>	Metallkasten
Goldscheibchen	Gold<NN>Scheibe<NN>chen<SUFF>	Goldscheibe
Traubenzuckerstückchen	Traube<NN>Zucker<NN>Stück<NN>chen<SUFF>	Traubenzuckerstück
Modellhäuschen	Modell<NN>Haus<NN>chen<SUFF>	Modellhaus
Nummerntäfelchen	Nummer<NN>Tafel<NN>chen<SUFF>	Nummerntafel
Moostierchen	Moos<NN>Tier<NN>chen<SUFF>	Moostier
Zwillingsbrüderchen	Zwilling<NN>Bruder<NN>chen<SUFF>	Zwillingsbruder
Dankeskärtchen	Dank<NN>Karte<NN>chen<SUFF>	Dankeskarte
Verkaufshäuschen	Verkauf<NN>Haus<NN>chen<SUFF>	Verkaufshaus
Streichholzbriefchen	streichen<V>Holz<NN>Brief<NN>chen<SUFF>	Streichholzbrief
Erdnussbutterhäppchen	Erdnuss<NN>Butter<NN>Happen<NN>chen<SUFF>	Erdnussbutterhappen
Holztierchen	Holz<NN>Tier<NN>chen<SUFF>	Holztier
Schlittenglöckchen	Schlitten<NN>Glocke<NN>chen<SUFF>	Schlittenglocke
Bambusstöckchen	Bambus<NN>Stock<NN>chen<SUFF>	Bambusstock
Seidenpapierkügelchen	Seide<NN>Papier<NN>Kugel<NN>chen<SUFF>	Seidenpapierkugel
Goldlöckchen	Gold<NN>Locke<NN>chen<SUFF>	Goldlocke
Schinkenwürfelchen	Schinken<NN>Würfel<NN>chen<SUFF>	Schinkenwürfel
Buchenwäldchen	Buche<NN>Wald<NN>chen<SUFF>	Buchenwald
Zedernholzbrettchen	Zeder<NN>Holz<NN>Brett<NN>chen<SUFF>	Zedernholzbrett
Pornobärtchen	Porno<NN>Bart<NN>chen<SUFF>	Pornobart
Blasskopfäffchen	blass<ADJ>Kopf<NN>Affe<NN>chen<SUFF>	Blasskopfaffe
Kaffeesahnedöschen	Kaffee<NN>Sahne<NN>Dose<NN>chen<SUFF>	Kaffeesahnedose
Sommerkleidchen	Sommer<NN>Kleid<NN>chen<SUFF>	Sommerkleid
Damensofachen	Dame<NN>Sofa<NN>chen<SUFF>	Damensofa
Bücherbüdchen	Buch<NN>Bude<NN>chen<SUFF>	Bücherbude
Schweinsschwänzchen	Schwein<NN>Schwanz<NN>chen<SUFF>	Schweinsschwanz
Trachtenjäckchen	Tracht<NN>Jacke<NN>chen<SUFF>	Trachtenjacke
Schönwetterwölkchen	Schönwetter<NN>Wolke<NN>chen<SUFF>	Schönwetterwolke
Nadelbäumchen	Nadel<NN>Baum<NN>chen<SUFF>	Nadelbaum
Kartoffelschaumsüppchen	Kartoffel<NN>Schaum<NN>Suppe<NN>chen<SUFF>	Kartoffelschaumsuppe
Dachkämmerchen	Dach<NN>Kammer<NN>chen<SUFF>	Dachkammer
Kreidekästchen	Kreide<NN>Kasten<NN>chen<SUFF>	Kreidekastem
Tablettenröhrchen	Tablette<NN>Rohr<NN>chen<SUFF>	Tablettenrohr
Politikspielchen	Politik<NN>Spiel<NN>chen<SUFF>	Politikspiel
Kirchenwäldchen	Kirche<NN>Wald<NN>chen<SUFF>	Kirchenwald
Inselstädtchen	Insel<NN>Stadt<NN>chen<SUFF>	Inselstadt
Erotikfilmchen	Erotik<NN>Film<NN>chen<SUFF>	Erotikfilm
Wiedersehensküsschen	wieder<VPART>sehen<V><NN><SUFF>Kuss<NN>chen<SUFF>	Wiedersehenskuss
Wildsalatblättchen	wild<ADJ>Salat<NN>Blatt<NN>chen<SUFF>	Wildsalatblatt
Holzwürmchen	Holz<NN>Wurm<NN>chen<SUFF>	Holzwurm
Plüschäffchen	Plüsch<NN>Affe<NN>chen<SUFF>	Plüschaffe
Wohnzimmertänzchen	Wohnzimmer<NN>Tanz<NN>chen<SUFF>	Wohnzimmertanz
Opernhäuschen	Oper<NN>Haus<NN>chen<SUFF>	Opernhaus
Rüschenkleidchen	Rüsche<NN>Kleid<NN>chen<SUFF>	Rüschenkleid
Erinnerungskärtchen	Erinnerung<NN>Karte<NN>chen<SUFF>	Erinnerungskarte
