Junggeselle<NN>Schleuder	Junggesellenschleuder
Auszeit<NN>Chronik	Auszeitchronik
Irrsinn<NN>Kaleidoskop	Irrsinnskaleidoskop
Monotonie<NN>Bindestrich	Monotoniebindestrich
Abwesenheit<NN>Wichtel	Abwesenheitswichtel
Tausendfüßler<NN>Ecke	Tausendfüßlerecke
Einheit<NN>Quacksalber	Einheitsquacksalber
Kaulquappe<NN>Lasso	Kaulquappenlasso
Reporter<NN>Jalousie	Reporterjalousie
Emission<NN>Adoption	Emissionsadoption
Firewall<NN>Terrakotta	Firewallterrakotta
Rülpser<NN>Parfümerie	Rülpserparfümerie
Aufschub<NN>Akupressur	Aufschubsakupressur
Guthaben<NN>Vertikale	Guthabenvertikale
Spitzbogen<NN>Storno	Spitzbogenstorno
Kissen<NN>Epoche	Kissenepoche
Cäsium<NN>Thriller	Cäsiumthriller
Honoratioren<NN>Stellungnahme	Honoratiorenstellungnahme
Plantage<NN>Weltmeister	Plantagenweltmeister
Klatsch<NN>Gärtnerei	Klatschgärtnerei
Flöte<NN>Virilität	Flötenvirilität
Stabilisation<NN>Speck	Stabilisationsspeck
Geografie<NN>Element	Geografieelement
Sirene<NN>Unterhändler	Sirenenunterhändler
Linse<NN>Eingeständnis	Linseneingeständnis
Knäuel<NN>Individualität	Knäuelindividualität
Verbleib<NN>Helikopter	Verbleibhelikopter
Zander<NN>Wirsing	Zanderwirsing
Haltestelle<NN>Treibhaus	Haltestellentreibhaus
Gefangenschaft<NN>Geologie	Gefangenschaftsgeologie
Gesäß<NN>Flanell	Gesäßflanell
Sauberkeit<NN>Garant	Sauberkeitsgarant
Politur<NN>Bistum	Politurbistum
Deformation<NN>Einzelgänger	Deformationseinzelgänger
Alkoholismus<NN>Parkett	Alkoholismusparkett
Schmelz<NN>Skizze	Schmelzskizze
Kerbel<NN>Larve	Kerbellarve
Phonetik<NN>Toaster	Phonetiktoaster
Enzym<NN>Tatbestand	Enzymtatbestand
Philatelie<NN>Orange	Philatelieorange
Achse<NN>Fahrrad	Achsenfahrrad
Gezänk<NN>Arche	Gezänkarche
Plädoyer<NN>Reim	Plädoyerreim
Schwermetall<NN>Garnison	Schwermetallgarnison
Automatismus<NN>Fürstentum	Automatismusfürstentum
Schlaufe<NN>Liga	Schlaufenliga
Echse<NN>Niederlassung	Echsenniederlassung
Schnitte<NN>Poesie	Schnittenpoesie
Chamäleon<NN>Demonstrator	Chamäleondemonstrator
Migräne<NN>Rute	Migränenrute
Spitzer<NN>Bedienung	Spitzerbedienung
Weihnacht<NN>Stratosphäre	Weihnachtsstratosphäre
Variation<NN>Adler	Variationsadler
Ostalgie<NN>Fahrplan	Ostalgiefahrplan
Mentalität<NN>Canapé	Mentalitätscanapé
Gürtel<NN>Röte	Gürtelröte
Casting<NN>Repressalie	Castingrepressalie
Ziffer<NN>Käfig	Zifferkäfig
Tartare<NN>Mieder	Tartarenmieder
Analytiker<NN>Pfadfinder	Analytikerpfadfinder
Hülse<NN>Stafette	Hülsenstafette
Knolle<NN>Sonde	Knollensonde
Terminologie<NN>Ferse	Terminologieferse
Äbtissin<NN>Tarif	Äbtissinnentarif
Unbill<NN>Quarzit	Unbillquarzit
Spieler<NN>Gestöber	Spielergestöber
Clownerie<NN>Felge	Clowneriefelge
Rasen<NN>Dschihad	Rasendschihad
Erdbeere<NN>Requisite	Erdbeerrequisite
Ritual<NN>Kubikmeter	Ritualkubikmeter
Lichtung<NN>Schelte	Lichtungsschelte
Scharia<NN>Flöte	Schariaflöte
Plausibilität<NN>Aufpreis	Plausibilitätsaufpreis
Gefälligkeit<NN>Glühlampe	Gefälligkeitsglühlampe
Freizeit<NN>Papagei	Freizeitpapagei
Kreativität<NN>Wäscherei	Kreativitätswäscherei
Schrebergarten<NN>Vorstrafe	Schrebergartenvorstrafe
Punk<NN>Kloster	Punkkloster
Etikette<NN>Schlips	Etikettenschlips
Vakuum<NN>Verdienst	Vakuumverdienst
Komet<NN>Debüt	Kometendebüt
Sütterlin<NN>Patrone	Sütterlinpatrone
Viskosität<NN>Porridge	Viskositätsporridge
Thrombose<NN>Zensur	Thrombosezensur
Postfach<NN>Tarot	Postfachtarot
Neuwagen<NN>Kameradschaft	Neuwagenkameradschaft
Schaufel<NN>Interpret	Schaufelinterpret
Allüre<NN>Auktion	Allürenauktion
Parität<NN>Komplizin	Paritätskomplizin
Gewalt<NN>Erdbeere	Gewalterdbeere
Phosphat<NN>Salve	Phosphatsalve
Kaulquappe<NN>Kaff	Kaulquappenkaff
Spannung<NN>Ocker	Spannungsocker
Umweg<NN>Gourmet	Umwegsgourmet
Mortalität<NN>Kaufmann	Mortalitätskaufmann
Salat<NN>Inhalt	Salatinhalt
Illumination<NN>Macht	Illuminationsmacht
Mondschein<NN>Rektorat	Mondscheinrektorat
Hirn<NN>Klee	Hirnklee
Teller<NN>Balustrade	Tellerbalustrade
Alge<NN>Enkel	Algenenkel
Friseuse<NN>Tomographie	Friseusentomographie
Keilerei<NN>Ideal	Keilereiideal
Samariter<NN>Folie	Samariterfolie
Salz<NN>Reife	Salzreife
Großhändler<NN>Geständnis	Großhändlergeständnis
Lumineszenz<NN>Gelee	Lumineszenzgelee
Anzeige<NN>Plagiat	Anzeigeplagiat
Gewebe<NN>Anlaut	Gewebeanlaut
Schnörkel<NN>Gelöbnis	Schnörkelgelöbnis
Katapult<NN>Kuvertüre	Katapultkuvertüre
Destillation<NN>Reihe	Destillationsreihe
Klarinette<NN>Bursche	Klarinettenbursche
Umschlag<NN>Kichererbse	Umschlagskichererbse
Hotel<NN>Aufschub	Hotelaufschub
Gazelle<NN>Rüstung	Gazellenrüstung
Firewall<NN>Ventil	Firewallventil
Skarabäus<NN>Polynom	Skarabäuspolynom
Brause<NN>Rosine	Brausenrosine
Admiralität<NN>Elektrizität	Admiralitätselektrizität
Interpret<NN>Saum	Interpretensaum
Regentschaft<NN>Kartonage	Regentschaftskartonage
Frikadelle<NN>Zweig	Frikadellenzweig
Simulator<NN>Zucker	Simulatorzucker
Adventist<NN>Bürste	Adventistenbürste
Artischocke<NN>Synapse	Artischockensynapse
Eleganz<NN>Petersilie	Eleganzpetersilie
Altersheim<NN>Mandat	Altersheimsmandat
Schwaden<NN>Mechanik	Schwadenmechanik
Flimmer<NN>Aufgabe	Flimmeraufgabe
Tapferkeit<NN>Halm	Tapferkeitshalm
Rottweiler<NN>Zentrifuge	Rottweilerzentrifuge
Hersteller<NN>Krähe	Herstellerkrähe
Kanone<NN>Flöte	Kanonenflöte
Bereitstellung<NN>Sekunde	Bereitstellungssekunde
Sockel<NN>Kartei	Sockelkartei
Rechnungshof<NN>Vibration	Rechnungshofvibration
Leinwand<NN>Dichtung	Leinwanddichtung
Mittag<NN>Ufo	Mittagsufo
Suppe<NN>Degen	Suppendegen
Parka<NN>Gewalt	Parkagewalt
Kastell<NN>Schnur	Kastellschnur
Schwindsucht<NN>Galerie	Schwindsuchtsgalerie
Dinkel<NN>Flinte	Dinkelflinte
April<NN>Dissident	Aprildissident
Treuhänder<NN>Proton	Treuhänderproton
Bedeutung<NN>Patient	Bedeutungspatient
Akzeptanz<NN>Schippe	Akzeptanzschippe
Motte<NN>Reaktor	Mottenreaktor
Propagandist<NN>Segment	Propagandistensegment
Püree<NN>Koffer	Püreekoffer
Aufstellung<NN>Konzentrat	Aufstellungskonzentrat
Monitor<NN>Katalog	Monitorkatalog
Anrainer<NN>Bagatelle	Anrainerbagatelle
Erinnerung<NN>Baptist	Erinnerungsbaptist
Muschel<NN>Aufwind	Muschelaufwind
Betrug<NN>Quatsch	Betrugsquatsch
Pinie<NN>Propeller	Pinienpropeller
Fremdling<NN>Märchen	Fremdlingsmärchen
Eleganz<NN>Kaufmann	Eleganzkaufmann
Zahnrad<NN>Modulation	Zahnradmodulation
